0,set_spot,Advance to Go - Collect $200,1,0,0
1,set_spot,Advance to Illinois Ave. - Collect $200 if you pass go,1,24,0
2,set_spot,Advance to St. Charles Place - If you pass Go collect $200,1,11,0
3,nearest_utility,Advance token to the nearest Utility. If unowned: you may buy it from the bank. If owned: roll the dice and pay the owner ten times the amount thrown,1,0,0
4,nearest_railroad,Advance token to the nearest Railroad and pay owner twice the rental to which he/she is otherwise entitled. If Railroad is unowned: you may buy it from the Bank.,1,0,0
5,nearest_railroad,Advance token to the nearest Railroad and pay owner twice the rental to which he/she is otherwise entitled. If Railroad is unowned: you may buy it from the Bank.,1,0,0
6,cash_change,Bank pays you dividend of $50,0,50,0
7,out_of_jail,Get Out of Jail Free! Keep this card until needed or sold,0,0,0
8,set_spot,Go back 3 spaces,-3,0,0
9,set_spot,Go directly to Jail - Do not pass Go. Do not collect $200,0,30,0
10,house_tax,Make general repairs on all your property - For each house pay $25 - For each hotel $100,25,100,0
11,cash_change,Pay poor tax of $15,0,-15,0
12,set_spot,Take a walk on the Boardwalk - Advance token to Boardwalk,1,39,0
13,cash_change,You have been elected Chairman of the Board - Pay each player $50,1,-50,0
14,cash_change,Your building loan matures - Collect $150,0,150,0
